ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _product_addons_exclude_global,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default
242,variable,,Balanced Living,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Healthy,,,https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living.png,,,,,,,,,0,Number of Calories,"1500, 1800, 2200",1,1,Number of days a week,"5 days, 6 days",1,1,Duration,"1 week, 2 weeks, 3 weeks",1,1,Selected Meals (2 snacks included),"Breakfast &amp; Lunch, Full Day, Lunch &amp; Dinner",1,1,,,,,
244,variable,AP,Eatology Asian,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Diet,,,"https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-plan-aisan.png, https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-plan-muscle-building.png, https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-lighter-delights.png, https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-low-carbs-glutten-free.png",,,,,,,,,0,Duration,"1 week, 2 weeks, 3 weeks",1,1,Number of days a week,"5 days, 6 days",1,1,Number of Calories,"1200, 1500, 1800",1,1,Selected Meals (2 snacks included),"Breakfast &amp; Lunch, Full Day, Lunch &amp; Dinner",1,1,0,1 week,5 days,1200,Breakfast &amp; Lunch
246,variable,,Paleo,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Diet,,,https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-plan-paleo.png,,,,,,,,,0,Number of Calories,"1200, 1500, 1800, 2200",1,1,Number of days a week,"5 days, 6 days",1,1,Duration,"1 week, 2 weeks, 3 weeks",1,1,Selected Meals (2 snacks included),"Breakfast &amp; Lunch, Full Day, Lunch &amp; Dinner",1,1,,,,,
254,variable,,Lighter Delights,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Healthy,,,https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-lighter-delights.png,,,,,,,,,0,Number of Calories,"1200, 1500, 1800",1,1,Number of days a week,"5 days, 6 days",1,1,Duration,"1 week, 2 weeks, 3 weeks",1,1,Selected Meals (2 snacks included),"Breakfast &amp; Lunch, Full Day, Lunch &amp; Dinner",1,1,,,,,
256,variable,,Gluten Free Low Carb,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Healthy,,,https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-low-carbs-glutten-free.png,,,,,,,,,0,Number of Calories,"1200, 1500, 1800",1,1,Number of days a week,"5 days, 6 days",1,1,Duration,"1 week, 2 weeks, 3 weeks",1,1,Selected Meals (2 snacks included),"Breakfast &amp; Lunch, Full Day, Lunch &amp; Dinner",1,1,,,,,
257,variable,,Keto Light,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Diet,,,https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-plan-ketogenic.png,,,,,,,,,0,Number of Calories,"1200, 1500, 1800",1,1,Number of days a week,"5 days, 6 days",1,1,Duration,"1 week, 2 weeks, 3 weeks",1,1,Selected Meals (2 snacks included),"Breakfast &amp; Lunch, Full Day, Lunch &amp; Dinner",1,1,,,,,
260,variable,,Vegetarian,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Diet,,,https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-plan-vegetarian.png,,,,,,,,,0,Number of Calories,"1200, 1500, 1800",1,1,Number of days a week,"5 days, 6 days",1,1,Duration,"1 week, 2 weeks, 3 weeks",1,1,Selected Meals (2 snacks included),"Breakfast &amp; Lunch, Full Day, Lunch &amp; Dinner",1,1,,,,,
516,variable,,Low Carb,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Healthy,,,https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-low-carbs-glutten-free.png,,,,,,,,,0,Number of Calories,"1200, 1500, 1800",1,1,Number of days a week,"5 days, 6 days",1,1,Duration,"1 week, 2 weeks, 3 weeks",1,1,Selected Meals (2 snacks included),"Breakfast &amp; Lunch, Full Day, Lunch &amp; Dinner",1,1,,,,,
520,variable,,Optimal Performance,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Healthy,,,,,,,,,,,,0,Number of Calories,"2200, 2600",1,1,Number of days a week,"5 days, 6 days",1,1,Duration,"1 week, 2 weeks, 3 weeks",1,1,Selected Meals (2 snacks included),"Breakfast &amp; Lunch, Full Day, Lunch &amp; Dinner",1,1,,,,,
521,variable,,Vegan,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Diet,,,https://eatology.wecreatelabs.com.hk/wp-content/uploads/2020/04/meal-plan-vegetarian.png,,,,,,,,,0,Number of Calories,"1200, 1500, 1800",1,1,Number of days a week,"5 days, 6 days",1,1,Duration,"1 week, 2 weeks, 3 weeks",1,1,Selected Meals (2 snacks included),"Breakfast &amp; Lunch, Full Day, Lunch &amp; Dinner",1,1,,,,,
