,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _product_addons_exclude_global,Meta: _wpml_word_count,Meta: _wpml_media_duplicate,Meta: _wpml_media_featured,Meta: _wpml_media_has_media,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default,Meta: _yoast_wpseo_content_score
,685,variation,PA1W5D2MA56/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1640,,,,,,,id:246,,,,,,23,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W5D2MA56/15,703,variation,PA1W5D2MA56/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1840,,,,,,,id:246,,,,,,41,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W5D2MA56/18,721,variation,PA1W5D2MA56/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2115,,,,,,,id:246,,,,,,59,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W5D2MA56/22,739,variation,PA1W5D2MA56/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2415,,,,,,,id:246,,,,,,5,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W5D3MA57/12,687,variation,PA1W5D3MA57/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2015,,,,,,,id:246,,,,,,25,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W5D3MA57/15,705,variation,PA1W5D3MA57/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2165,,,,,,,id:246,,,,,,43,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W5D3MA57/18,723,variation,PA1W5D3MA57/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2565,,,,,,,id:246,,,,,,61,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W5D3MA57/22,741,variation,PA1W5D3MA57/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2865,,,,,,,id:246,,,,,,7,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W5D4MA60/12,686,variation,PA1W5D4MA60/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1715,,,,,,,id:246,,,,,,24,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W5D4MA60/15,704,variation,PA1W5D4MA60/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1965,,,,,,,id:246,,,,,,42,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
