ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _product_addons_exclude_global,Meta: _wpml_word_count,Meta: _wpml_media_duplicate,Meta: _wpml_media_featured,Meta: _wpml_media_has_media,Meta: _yoast_wpseo_content_score,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default
522,variation,VG1W5D2MA56/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1465,,,,,,,id:521,,,,,,5,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
540,variation,VG1W5D2MA56/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1665,,,,,,,id:521,,,,,,23,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
558,variation,VG1W5D2MA56/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1940,,,,,,,id:521,,,,,,41,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
524,variation,VG1W5D3MA57/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1840,,,,,,,id:521,,,,,,7,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
542,variation,VG1W5D3MA57/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2040,,,,,,,id:521,,,,,,25,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
560,variation,VG1W5D3MA57/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2390,,,,,,,id:521,,,,,,43,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
523,variation,VG1W5D4MA60/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1590,,,,,,,id:521,,,,,,6,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
541,variation,VG1W5D4MA60/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1790,,,,,,,id:521,,,,,,24,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
559,variation,VG1W5D4MA60/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2190,,,,,,,id:521,,,,,,42,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
531,variation,VG1W6D2MA58/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1758,,,,,,,id:521,,,,,,14,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
549,variation,VG1W6D2MA58/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1998,,,,,,,id:521,,,,,,32,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
567,variation,VG1W6D2MA58/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2328,,,,,,,id:521,,,,,,50,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
533,variation,VG1W6D3MA59/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2208,,,,,,,id:521,,,,,,16,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
551,variation,VG1W6D3MA59/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2448,,,,,,,id:521,,,,,,34,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
569,variation,VG1W6D3MA59/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2868,,,,,,,id:521,,,,,,52,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
532,variation,VG1W6D4MA61/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1908,,,,,,,id:521,,,,,,15,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
550,variation,VG1W6D4MA61/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2148,,,,,,,id:521,,,,,,33,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
568,variation,VG1W6D4MA61/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2628,,,,,,,id:521,,,,,,51,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
525,variation,VG2W5D2MA40/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2930,,,,,,,id:521,,,,,,8,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
543,variation,VG2W5D2MA40/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3080,,,,,,,id:521,,,,,,26,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
561,variation,VG2W5D2MA40/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3880,,,,,,,id:521,,,,,,44,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
