id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
ADDONCUP_7422,"Eatology Cup","Eatology Reusable Glass coffee cup , 12 oz / 355 ml - 58 hkd",http://localhost/wp-content/uploads/2021/03/cup-scaled.jpg,http://localhost/meal-plans/eatology-cup/,"Add-On Product","Eatology",58HKD,in stock,ADDONCUP_7422,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,58HKD,new,published,,,,,,,
VT3W5D4MA46/22_6752,"Vegetarian","Number of Calories: 2200, Meals: Lunch & Dinner, Duration: 3 weeks, Number of days a week: 5 days",http://localhost/wp-content/uploads/2020/04/meal-plan-vegetarian.jpg,http://localhost/meal-plans/vegetarian/?attribute_pa_calories=2200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=3-weeks&attribute_pa_days=5-days,"Diet","Eatology",7470HKD,in stock,wc_post_id_260,,"http://localhost/wp-content/uploads/2020/04/Tomato_Pine_Nuts_Risotto-scaled-1.jpg,http://localhost/wp-content/uploads/2020/04/eatology_vegetarian-scaled-2.jpg,http://localhost/wp-content/uploads/2020/04/Eatology_Panna_Cotta_with_Strawberries-scaled-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7470HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:2200,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Lunch &amp; Dinner,duration:1 week/2 weeks/3 weeks:3 weeks,days:5 days/6 days:5 days"
VT3W6D4MA46/22_6753,"Vegetarian","Number of Calories: 2200, Meals: Lunch & Dinner, Duration: 3 weeks, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/04/meal-plan-vegetarian.jpg,http://localhost/meal-plans/vegetarian/?attribute_pa_calories=2200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=3-weeks&attribute_pa_days=6-days,"Diet","Eatology",8964HKD,in stock,wc_post_id_260,,"http://localhost/wp-content/uploads/2020/04/Tomato_Pine_Nuts_Risotto-scaled-1.jpg,http://localhost/wp-content/uploads/2020/04/eatology_vegetarian-scaled-2.jpg,http://localhost/wp-content/uploads/2020/04/Eatology_Panna_Cotta_with_Strawberries-scaled-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,8964HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:2200,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Lunch &amp; Dinner,duration:1 week/2 weeks/3 weeks:3 weeks,days:5 days/6 days:6 days"
VT3W5D4MA46/22_6770,"健康素食計劃","Number of Calories: 2200, Meals: Lunch & Dinner, Duration: 3 weeks, Number of days a week: 5 days",http://localhost/wp-content/uploads/2020/04/meal-plan-vegetarian.png,http://localhost/zh/meal-plans/vegetarian/?attribute_pa_calories=2200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=3-weeks&attribute_pa_days=5-days,"減肥計劃","Eatology",7470HKD,in stock,wc_post_id_3673,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7470HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:2200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Lunch &amp; Dinner,duration:1-week/2 星期/3 星期:3 weeks,days:5-days/6天:5 days"
VT3W6D4MA46/22_6771,"健康素食計劃","Number of Calories: 2200, Meals: Lunch & Dinner, Duration: 3 weeks, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/04/meal-plan-vegetarian.png,http://localhost/zh/meal-plans/vegetarian/?attribute_pa_calories=2200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=3-weeks&attribute_pa_days=6-days,"減肥計劃","Eatology",8964HKD,in stock,wc_post_id_3673,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,8964HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:2200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Lunch &amp; Dinner,duration:1-week/2 星期/3 星期:3 weeks,days:5-days/6天:6 days"
VT3W5D4MA46/22_6788,"無麩質低碳膳食","Number of Calories: 2200, Meals: Lunch & Dinner, Duration: 3 weeks, Number of days a week: 5 days",http://localhost/wp-content/uploads/2020/04/meal-plan-vegetarian.jpg,http://localhost/zh-hant/meal-plans/vegetarian/?attribute_pa_calories=2200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=3-weeks&attribute_pa_days=5-days,"Diet","Eatology",7470HKD,in stock,wc_post_id_2537,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7470HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:2200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Lunch &amp; Dinner,duration:1-week/2 星期/3 星期:3 weeks,days:5-days/6天:5 days"
VT3W6D4MA46/22_6789,"無麩質低碳膳食","Number of Calories: 2200, Meals: Lunch & Dinner, Duration: 3 weeks, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/04/meal-plan-vegetarian.jpg,http://localhost/zh-hant/meal-plans/vegetarian/?attribute_pa_calories=2200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=3-weeks&attribute_pa_days=6-days,"Diet","Eatology",8964HKD,in stock,wc_post_id_2537,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,8964HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:2200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Lunch &amp; Dinner,duration:1-week/2 星期/3 星期:3 weeks,days:5-days/6天:6 days"
VT1W6D4MA46/22_6749,"Vegetarian","Number of Calories: 2200, Meals: Lunch & Dinner, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/04/meal-plan-vegetarian.jpg,http://localhost/meal-plans/vegetarian/?attribute_pa_calories=2200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Diet","Eatology",2988HKD,in stock,wc_post_id_260,,"http://localhost/wp-content/uploads/2020/04/Tomato_Pine_Nuts_Risotto-scaled-1.jpg,http://localhost/wp-content/uploads/2020/04/eatology_vegetarian-scaled-2.jpg,http://localhost/wp-content/uploads/2020/04/Eatology_Panna_Cotta_with_Strawberries-scaled-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2988HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:2200,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Lunch &amp; Dinner,duration:1 week/2 weeks/3 weeks:1 week,days:5 days/6 days:6 days"
VT2W5D4MA46/22_6750,"Vegetarian","Number of Calories: 2200, Meals: Lunch & Dinner, Duration: 2 weeks, Number of days a week: 5 days",http://localhost/wp-content/uploads/2020/04/meal-plan-vegetarian.jpg,http://localhost/meal-plans/vegetarian/?attribute_pa_calories=2200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,"Diet","Eatology",4980HKD,in stock,wc_post_id_260,,"http://localhost/wp-content/uploads/2020/04/Tomato_Pine_Nuts_Risotto-scaled-1.jpg,http://localhost/wp-content/uploads/2020/04/eatology_vegetarian-scaled-2.jpg,http://localhost/wp-content/uploads/2020/04/Eatology_Panna_Cotta_with_Strawberries-scaled-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4980HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:2200,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Lunch &amp; Dinner,duration:1 week/2 weeks/3 weeks:2 weeks,days:5 days/6 days:5 days"
VT2W6D4MA46/22_6751,"Vegetarian","Number of Calories: 2200, Meals: Lunch & Dinner, Duration: 2 weeks, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/04/meal-plan-vegetarian.jpg,http://localhost/meal-plans/vegetarian/?attribute_pa_calories=2200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=2-weeks&attribute_pa_days=6-days,"Diet","Eatology",5976HKD,in stock,wc_post_id_260,,"http://localhost/wp-content/uploads/2020/04/Tomato_Pine_Nuts_Risotto-scaled-1.jpg,http://localhost/wp-content/uploads/2020/04/eatology_vegetarian-scaled-2.jpg,http://localhost/wp-content/uploads/2020/04/Eatology_Panna_Cotta_with_Strawberries-scaled-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5976HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:2200,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Lunch &amp; Dinner,duration:1 week/2 weeks/3 weeks:2 weeks,days:5 days/6 days:6 days"
